id,title,handle,vendor,status,desc_len,has_tags,distributor_snippet
9150990778606,FLIR ARIEL™ CM-3202 para Monitoreo Continuo,ariel™-cm-3202,FLIR,active,197,1,0
9150990713070,FLIR Ariel™ CM-3505-11-I,flir-ariel™-cm-3505-11-i,FLIR,active,151,1,0
4506203029546,FLIR Atlas SDK for .NET,flir-atlas-sdk-for-net,Flir,active,662,1,0
4386527674410,FLIR AX8,flir-ax8,Flir,active,932,1,0
4511219777578,FLIR Breach® PTQ136,flir-breach®-ptq136,Flir,active,6810,1,0
6976581206197,FLIR C3-X · Cámara Termográfica (128x96 px) · Rango -20°C a +300°C,camara-termica-compacta-flir-c3-x,Flir,active,1905,1,0
4386393030698,FLIR C5 · Cámara Termográfica (160x120 px) · Rango -20°C a +400°C,flir-c5,Flir,active,2071,1,0
9140777648366,FLIR C8 · Cámara Termográfica · 320×240 · Rango -20 a 450°C,flir-c8-camara-termografica-320-240-rango-20-a-450-c,Flir,active,1342,1,1
4506266402858,FLIR Cargador de Baterías,battery-charger-t198531,Flir,active,55,1,0
9150992220398,FLIR CCTV Keyboard,flir-cctv-keyboard,FLIR,active,328,1,0
